iyear,extended,latitude,longitude,attacktype1,success,suicide,targtype1,gname,nperps,nkill,nwound,property
1970,0,19.371887,-99.086624,6,1,0,7,23rd of September Communist League,7.0,0.0,0.0,0
1970,0,-34.891151,-56.187214000000004,1,0,0,3,Tupamaros (Uruguay),3.0,0.0,0.0,0
1970,0,43.076592,-89.412488,7,1,0,4,New Year's Gang,1.0,0.0,0.0,1
1970,0,43.07295,-89.38669399999999,7,1,0,2,New Year's Gang,1.0,0.0,0.0,1
1970,0,-34.891151,-56.187214000000004,2,1,0,8,Tupamaros (Uruguay),5.0,0.0,0.0,1
1970,0,47.610786,-122.33130600000001,3,1,0,8,Black Nationalists,3.0,0.0,0.0,1
1970,0,47.610786,-122.33130600000001,3,0,0,4,Student Radicals,2.0,0.0,0.0,0
1970,0,10.482834,-66.962128,6,1,0,1,Armed Forces of National Liberation- Venezuela (FALN),3.0,0.0,0.0,0
1970,0,45.511795,-122.675629,7,1,0,2,Left-Wing Militants,1.0,0.0,0.0,1
1970,0,39.758967999999996,-104.876305,3,1,0,19,Black Nationalists,3.0,0.0,0.0,1
1970,0,40.697132,-73.931351,3,0,0,1,Armed Revolutionary Independence Movement (MIRA),1.0,0.0,0.0,0
1970,0,37.755363,-122.443352,2,0,0,3,Left-Wing Militants,1.0,0.0,0.0,0
1970,0,50.11797,8.644191000000001,3,1,0,6,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",4.0,0.0,0.0,1
1970,0,40.697132,-73.931351,3,1,0,14,"Weather Underground, Weathermen",4.0,0.0,0.0,1
1970,0,43.287052,-89.724361,3,0,0,21,New Year's Gang,1.0,0.0,0.0,0
1970,0,47.610786,-122.33130600000001,3,1,0,2,Student Radicals,4.0,0.0,0.0,1
1970,0,39.538940000000004,-76.348479,3,0,0,20,Black Nationalists,2.0,2.0,0.0,1
1970,0,38.563122,-76.078063,3,1,0,2,Left-Wing Militants,1.0,0.0,0.0,1
1970,1,-23.550711,-46.633475,6,1,0,7,Popular Revolutionary Vanguard (VPR),6.0,0.0,0.0,0
1970,1,33.766725,-118.192399,4,1,0,4,Left-Wing Militants,2.0,0.0,0.0,0
1970,0,40.697132,-73.931351,3,1,0,1,Black Panthers,1.0,0.0,0.0,1
1970,0,40.697132,-73.931351,3,0,0,1,Black Panthers,1.0,0.0,0.0,0
1970,0,40.697132,-73.931351,3,1,0,1,Black Panthers,1.0,0.0,17.0,1
1970,1,18.456792,-69.951164,6,1,0,4,Dominican Popular Movement (MPD),5.0,0.0,0.0,0
1970,0,-34.61768,-58.444435,6,1,0,7,Argentine National Organization Movement (MANO),4.0,0.0,0.0,0
1970,0,42.455233,-76.475847,7,1,0,8,Student Radicals,2.0,0.0,0.0,1
1970,0,34.097865999999996,-118.407379,7,1,0,14,Cuban Exiles,4.0,0.0,0.0,1
1970,0,34.097865999999996,-118.407379,7,1,0,1,Left-Wing Militants,3.0,0.0,0.0,1
1970,0,40.102408000000004,-88.227159,7,0,0,3,Student Radicals,2.0,0.0,0.0,0
1970,0,39.308341999999996,-76.616104,2,1,0,3,Black Panthers,3.0,1.0,1.0,0
1970,0,40.697132,-73.931351,1,0,0,7,The World United Formosans for Independence (WUFI),2.0,0.0,0.0,1
1970,0,40.697132,-73.931351,7,1,0,4,Left-Wing Militants,4.0,0.0,0.0,1
1970,0,-25.282773000000002,-57.63561,1,1,0,7,Palestinians,2.0,1.0,1.0,0
1970,0,46.404973,-117.00934099999999,7,1,0,4,Left-Wing Militants,1.0,0.0,0.0,1
1970,0,33.73787,-118.28466399999999,7,0,0,4,Left-Wing Militants,2.0,0.0,0.0,0
1970,0,29.813822,-95.36529499999999,3,1,0,16,Ku Klux Klan,4.0,0.0,0.0,1
1970,0,-34.891151,-56.187214000000004,1,1,0,4,Tupamaros (Uruguay),4.0,0.0,0.0,1
1970,0,47.610786,-122.33130600000001,3,0,0,1,Black Nationalists,1.0,1.0,0.0,0
1970,0,40.697132,-73.931351,3,0,0,4,Cuban Action,3.0,0.0,0.0,1
1970,0,40.697132,-73.931351,8,1,0,17,Jewish Defense League (JDL),6.0,0.0,3.0,1
1970,0,44.946604,-93.13644599999999,2,1,0,3,Black Nationalists,2.0,1.0,0.0,0
1970,0,38.579065,-121.49101399999999,2,1,0,3,Black Panthers,6.0,1.0,0.0,0
1970,0,-34.891151,-56.187214000000004,2,1,0,4,Tupamaros (Uruguay),42.0,0.0,0.0,1
1970,0,32.715695000000004,-117.16171899999999,7,1,0,4,Left-Wing Militants,1.0,0.0,0.0,1
1970,0,10.063506,-69.334722,6,1,0,1,Armed Forces of National Liberation- Venezuela (FALN),3.0,0.0,0.0,0
1970,0,-34.891151,-56.187214000000004,9,1,0,7,Tupamaros (Uruguay),5.0,0.0,0.0,1
1970,0,40.697132,-73.931351,7,1,0,8,Student Radicals,2.0,0.0,0.0,1
1970,0,41.842602,-87.681229,2,1,0,3,Black Nationalists,2.0,1.0,0.0,0
1970,0,32.500640000000004,-94.741075,3,1,0,14,White supremacists/nationalists,1.0,0.0,0.0,1
1970,0,42.331685,-83.047924,2,0,0,3,National Committee to Combat Fascism,2.0,0.0,3.0,0
1970,0,33.895285,-118.224329,3,0,0,3,Black Nationalists,1.0,1.0,0.0,1
